key,sha,message,filename
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/tez/cross_product_check_2.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/tez/dynamic_partition_pruning.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/tez/explainuser_2.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/tez/mrr.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/tez/unionDistinct_1.q.out
HIVE-11954,dc0fcd48abc98a79748313188fdde8905a5747e7,"HIVE-11954: Extend logic to choose side table in MapJoin Conversion algorithm (Jesus Camacho Rodriguez, reviewed by Laljo John Pullokkaran)",ql/src/test/results/clientpositive/tez/vectorized_dynamic_partition_pruning.q.out
HIVE-11710,3d9fd2c99bd8a4a6b13aea9f2d467f907a0a7160,HIVE-11710: Beeline embedded mode doesn't output query progress after setting any session property (Aihua via Xuefu),itests/hive-unit/src/test/java/org/apache/hive/beeline/TestBeeLineWithArgs.java
HIVE-11710,3d9fd2c99bd8a4a6b13aea9f2d467f907a0a7160,HIVE-11710: Beeline embedded mode doesn't output query progress after setting any session property (Aihua via Xuefu),service/src/java/org/apache/hive/service/cli/operation/HiveCommandOperation.java
HIVE-11710,3d9fd2c99bd8a4a6b13aea9f2d467f907a0a7160,HIVE-11710: Beeline embedded mode doesn't output query progress after setting any session property (Aihua via Xuefu),service/src/java/org/apache/hive/service/cli/operation/SQLOperation.java
HIVE-12204,3d1fa371d5da598ca417411ed4c0fe357f5e9b35,HIVE-12204: Tez queries stopped running with ApplicationNotRunningException (Vikram Dixit K via Gunther Hagleitner),ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezSessionPoolManager.java
HIVE-12204,3d1fa371d5da598ca417411ed4c0fe357f5e9b35,HIVE-12204: Tez queries stopped running with ApplicationNotRunningException (Vikram Dixit K via Gunther Hagleitner),ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezTask.java
HIVE-12204,3d1fa371d5da598ca417411ed4c0fe357f5e9b35,HIVE-12204: Tez queries stopped running with ApplicationNotRunningException (Vikram Dixit K via Gunther Hagleitner),ql/src/test/org/apache/hadoop/hive/ql/exec/tez/TestTezSessionPool.java
HIVE-12210,e9750ae3134a2796fd62c31d496385a459707c58,HIVE-12210: Fix a few failing tests: testCliDriver_udf_explode and testCliDriver_udtf_explode (Aleksei S via Pengcheng Xiong),ql/src/test/results/clientpositive/udf_explode.q.out
HIVE-12210,e9750ae3134a2796fd62c31d496385a459707c58,HIVE-12210: Fix a few failing tests: testCliDriver_udf_explode and testCliDriver_udtf_explode (Aleksei S via Pengcheng Xiong),ql/src/test/results/clientpositive/udtf_explode.q.out
HIVE-12198,369b30e066e79fbaf99bd64cc9d2eef1fa011d9c,"HIVE-12198 : LLAP: reader failures when querying uncompressed data (Sergey Shelukhin, reviewed by Vikram Dixit K)",llap-server/src/java/org/apache/hadoop/hive/llap/cache/BuddyAllocator.java
HIVE-12198,369b30e066e79fbaf99bd64cc9d2eef1fa011d9c,"HIVE-12198 : LLAP: reader failures when querying uncompressed data (Sergey Shelukhin, reviewed by Vikram Dixit K)",ql/src/java/org/apache/hadoop/hive/ql/io/orc/encoded/EncodedReaderImpl.java
HIVE-12166,7055e0e89cc1c28b619ef648e2fac4e6ccb1c2b9,"HIVE-12166 : LLAP: Cache read error at 1000 Gb scale tests (Sergey Shelukhin, reviewed by Gopal V)",llap-server/src/java/org/apache/hadoop/hive/llap/io/encoded/OrcEncodedDataReader.java
HIVE-11578,a31511ab71728e354e290e3a6decebb40f532041,"HIVE-11578: Fix NPE in ExplainWork (Rajesh Balamohan, via Gopal V)",ql/src/java/org/apache/hadoop/hive/ql/plan/ExplainWork.java
