file,lines_added,lines_deleted,num_commits,num_bug_fixes,num_all_commits,num_developers,num_all_developers,avg_time_between_changes,avg_time_all_versions,avg_expertise,min_expertise
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestAccumuloRowSerializer.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/queries/positive/accumulo_custom_key.q,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/CompositeAccumuloRowIdFactory.java,4,3,3,1,1,3,1,12725366.5,0,288.6666666666667,189
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestDefaultAccumuloRowIdFactory.java,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/queries/positive/accumulo_custom_key2.q,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/queries/positive/accumulo_joins.q,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/queries/positive/accumulo_predicate_pushdown.q,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/queries/positive/accumulo_single_sourced_multi_insert.q,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/results/positive/accumulo_custom_key2.q.out,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/results/positive/accumulo_custom_key.q.out,0,0,0,0,0,0,0,0,0,0,0
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloIndexLexicoder.java,177,0,4,1,0,3,0,7894057.666666667,0,340.3333333333333,215
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/DefaultAccumuloRowIdFactory.java,5,4,4,1,1,4,1,8483577.666666666,0,276.75,189
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/TestAccumuloPredicateHandler.java,7,4,2,0,0,2,0,43112367.0,0,403.0,327
accumulo-handler/src/test/queries/positive/accumulo_index.q,44,0,1,0,0,1,0,0,0,327.0,327
accumulo-handler/src/test/queries/positive/accumulo_queries.q,6,0,1,1,0,1,0,0,0,375.0,375
accumulo-handler/src/test/results/positive/accumulo_joins.q.out,4,12,1,0,0,1,0,0,0,215.0,215
beeline/src/java/org/apache/hive/beeline/AbstractCommandHandler.java,1,1,1,1,0,1,0,0,0,479.0,479
beeline/src/java/org/apache/hive/beeline/AbstractOutputFormat.java,1,1,1,1,0,1,0,0,0,479.0,479
beeline/src/java/org/apache/hive/beeline/BeeLineCompleter.java,1,1,1,1,0,1,0,0,0,479.0,479
accumulo-handler/src/test/results/positive/accumulo_index.q.out,182,0,2,0,0,2,0,23095619.0,0,424.0,327
beeline/src/java/org/apache/hive/beeline/BooleanCompleter.java,1,1,1,1,0,1,0,0,0,479.0,479
beeline/src/java/org/apache/hive/beeline/BeeLineCommandCompleter.java,15,13,2,1,0,2,0,56147988.0,0,240.0,1
beeline/src/java/org/apache/hive/beeline/BeeLineSignalHandler.java,1,2,2,1,0,2,0,29830448.0,0,253.0,27
beeline/src/java/org/apache/hive/beeline/ClientHook.java,1,1,1,1,0,1,0,0,0,479.0,479
beeline/src/java/org/apache/hive/beeline/ColorBuffer.java,1,1,1,1,0,1,0,0,0,479.0,479
beeline/src/java/org/apache/hive/beeline/CommandHandler.java,1,1,1,1,0,1,0,0,0,479.0,479
beeline/src/java/org/apache/hive/beeline/ClientCommandHookFactory.java,85,19,2,1,0,2,0,46851332.0,0,340.5,202
beeline/src/java/org/apache/hive/beeline/DatabaseConnections.java,1,1,1,1,0,1,0,0,0,479.0,479
beeline/src/java/org/apache/hive/beeline/DeprecatedSeparatedValuesOutputFormat.java,1,1,1,1,0,1,0,0,0,479.0,479
beeline/src/java/org/apache/hive/beeline/DriverInfo.java,1,1,1,1,0,1,0,0,0,479.0,479
accumulo-handler/src/test/results/positive/accumulo_predicate_pushdown.q.out,69,145,5,0,1,5,1,11866590.25,0,262.2,183
beeline/src/java/org/apache/hive/beeline/BufferedRows.java,36,20,4,1,0,4,0,15845930.333333334,0,184.5,44
beeline/src/java/org/apache/hive/beeline/DatabaseConnection.java,9,8,3,1,0,3,0,30672472.0,0,297.6666666666667,189
beeline/src/java/org/apache/hive/beeline/OutputFormat.java,1,1,1,1,0,1,0,0,0,479.0,479
accumulo-handler/src/test/results/positive/accumulo_single_sourced_multi_insert.q.out,64,21,8,1,1,5,1,6924981.571428572,0,216.8,102
beeline/src/java/org/apache/hive/beeline/IncrementalRowsWithNormalization.java,86,0,2,1,0,2,0,43824906.0,0,291.0,103
beeline/src/java/org/apache/hive/beeline/IncrementalRows.java,6,6,2,1,0,2,0,43824906.0,0,291.0,103
beeline/src/java/org/apache/hive/beeline/OutputFile.java,68,8,2,1,0,2,0,22414048.0,0,340.5,202
beeline/src/java/org/apache/hive/beeline/Reflector.java,1,1,1,1,0,1,0,0,0,479.0,479
beeline/src/java/org/apache/hive/beeline/SQLCompleter.java,1,1,1,1,0,1,0,0,0,479.0,479
beeline/src/java/org/apache/hive/beeline/ReflectiveCommandHandler.java,12,4,2,1,0,2,0,46851332.0,0,340.5,202
beeline/src/java/org/apache/hive/beeline/TableNameCompletor.java,1,1,1,1,0,1,0,0,0,479.0,479
beeline/src/java/org/apache/hive/beeline/XMLAttributeOutputFormat.java,1,1,1,1,0,1,0,0,0,479.0,479
beeline/src/java/org/apache/hive/beeline/VerticalOutputFormat.java,1,1,1,1,0,1,0,0,0,479.0,479
accumulo-handler/src/test/results/positive/accumulo_queries.q.out,67,37,11,2,2,6,2,4847487.1,1008510.0,258.5,102
beeline/src/java/org/apache/hive/beeline/XMLElementOutputFormat.java,1,1,1,1,0,1,0,0,0,479.0,479
beeline/src/java/org/apache/hive/beeline/SunSignalHandler.java,12,3,2,1,0,2,0,29830448.0,0,253.0,27
beeline/src/java/org/apache/hive/beeline/TableOutputFormat.java,4,2,2,1,0,2,0,45117327.0,0,240.0,1
beeline/src/java/org/apache/hive/beeline/hs2connection/BeelineConfFileParseException.java,30,0,1,0,0,1,0,0,0,139.0,139
beeline/src/java/org/apache/hive/beeline/SeparatedValuesOutputFormat.java,74,68,4,1,0,3,0,18639260.666666668,0,235.33333333333334,2
beeline/src/java/org/apache/hive/beeline/cli/CliOptionsProcessor.java,3,3,2,1,0,2,0,35943454.0,0,360.0,241
beeline/src/java/org/apache/hive/beeline/hs2connection/BeelineSiteParseException.java,30,0,1,0,0,1,0,0,0,139.0,139
beeline/src/java/org/apache/hive/beeline/cli/HiveCli.java,6,2,2,1,0,2,0,35268543.0,0,352.0,225
beeline/src/java/org/apache/hive/beeline/hs2connection/BeelineSiteParser.java,145,0,1,0,0,1,0,0,0,139.0,139
beeline/src/main/resources/sql-keywords.properties,0,0,0,0,0,0,0,0,0,0,0
beeline/src/main/resources/beeline-log4j2.properties,0,0,0,0,0,0,0,0,0,0,0
