Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax
File,TestMetaStoreEventListenerWithOldConf.java,16.0,2.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0,1.0,0.0,2.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,129.0,20.0,84.0,40.0,53.0,25.0,64.0,70.0,34.0,49.0,1.0,1.0,1.0,1.0,0.0,0.3,5.0,5.0,5.0,5.0,4.0,5.0,8.0,6.0,8.6,11.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMetaStoreInitListener.java,8.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,56.0,6.0,27.0,17.0,7.0,23.0,18.0,21.0,14.0,7.0,1.0,1.0,1.0,1.0,50.0,0.85,2.0,2.0,2.0,2.0,1.0,2.5,4.0,1.0,5.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMetaStoreLimitPartitionRequest.java,7.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,27.0,0.0,1.0,3.0,5.0,27.0,24.0,2.0,27.0,0.0,8.0,0.0,19.0,320.0,43.0,227.0,110.0,121.0,50.0,131.0,163.0,89.0,87.0,2.0,2.0,3.0,1.0,89.0,0.22,31.0,31.0,32.0,27.0,0.0,2.6296296296296298,17.0,1.0,2.888888888888889,13.0,1.0,1.1481481481481481,2.0,0.0,0.14814814814814814,1.0
File,TestMetaStoreListenersError.java,10.0,0.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,97.0,13.0,63.0,24.0,33.0,21.0,30.0,40.0,21.0,23.0,2.0,2.0,2.0,1.6666666666666667,0.0,0.33,7.0,7.0,7.0,5.0,0.0,2.0,3.0,0.0,7.333333333333333,11.0,1.0,1.6666666666666667,2.0,0.0,0.6666666666666666,1.0
File,TestMetaStoreMaterializationsCacheCleaner.java,90.0,1.0,71.0,18.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0,1.0,1.0,6.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,328.0,11.0,239.0,62.0,210.0,78.0,156.0,160.0,53.0,132.0,1.0,1.0,1.0,1.0,0.0,0.33,3.0,3.0,3.0,3.0,5.0,8.333333333333334,10.0,6.0,18.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMetaStoreMetrics.java,28.0,5.0,20.0,4.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0,1.0,1.0,2.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,4.0,158.0,30.0,95.0,32.0,64.0,35.0,69.0,74.0,24.0,56.0,1.0,1.0,1.0,1.0,38.0,0.37,4.0,4.0,4.0,4.0,1.0,5.0,10.0,6.0,7.75,9.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMetaStorePartitionHelper.java,8.0,1.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0,1.0,0.0,11.0,6.0,6.0,7.0,6.0,0.0,0.0,0.0,6.0,129.0,21.0,91.0,63.0,36.0,17.0,65.0,72.0,51.0,34.0,1.0,1.0,1.0,1.0,62.0,0.19,6.0,6.0,6.0,6.0,2.0,4.833333333333333,12.0,2.0,5.666666666666667,13.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMetaStoreSchemaFactory.java,7.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,72.0,7.0,48.0,27.0,19.0,17.0,24.0,31.0,20.0,14.0,2.0,2.0,2.0,1.0,0.0,0.35,6.0,6.0,6.0,5.0,0.0,1.8,3.0,2.0,3.0,5.0,1.0,1.2,2.0,0.0,0.2,1.0
File,TestMetaStoreSchemaInfo.java,21.0,3.0,13.0,5.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,55.0,8.0,22.0,12.0,9.0,25.0,15.0,17.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,1.14,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0
File,TestMetaStoreUtils.java,29.0,2.0,21.0,5.0,1.0,1.0,1.0,1.0,1.0,24.0,0.0,1.0,0.0,2.0,7.0,7.0,2.0,7.0,0.0,0.0,0.0,7.0,274.0,31.0,189.0,101.0,130.0,55.0,111.0,120.0,78.0,74.0,2.0,2.0,2.0,1.0,64.0,0.29,8.0,8.0,8.0,7.0,0.0,3.1666666666666665,9.0,5.0,10.166666666666666,17.0,1.0,1.0,1.0,0.0,0.0,0.0
