Name,lines_added,lines_deleted,comments_added,comments_deleted,commits,bug_fixes,avg_time_between_changes,dev_expertise_avg,dev_expertise_min,developer_count,commits_global,avg_time_between_changes_global,developer_count_global
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/FirstCharAccumuloCompositeRowId.java,0,0,0,0,0,0,0,0,0,0,4,145.0,4
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestAccumuloRowSerializer.java,0,0,0,0,0,0,0,0,0,0,2,177.0,2
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestAccumuloSerDe.java,0,0,0,0,0,0,0,0,0,0,4,145.0,4
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestAccumuloSerDeParameters.java,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/serde/TestDefaultAccumuloRowIdFactory.java,0,0,0,0,0,0,0,0,0,0,2,177.0,2
accumulo-handler/src/test/queries/positive/accumulo_custom_key.q,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/queries/positive/accumulo_custom_key2.q,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/queries/positive/accumulo_index.q,78,44,0,0,3,0,9.0,25.0,6,2,3,9.0,2
accumulo-handler/src/test/queries/positive/accumulo_joins.q,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/queries/positive/accumulo_predicate_pushdown.q,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/queries/positive/accumulo_queries.q,4,0,0,0,1,1,0,2.0,2,1,2,1289.0,2
accumulo-handler/src/test/queries/positive/accumulo_single_sourced_multi_insert.q,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/results/positive/accumulo_custom_key.q.out,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/results/positive/accumulo_custom_key2.q.out,0,0,0,0,0,0,0,0,0,0,1,0,1
accumulo-handler/src/test/results/positive/accumulo_index.q.out,362,180,48,24,4,0,88.33333333333333,84.0,6,3,4,88.33333333333333,3
accumulo-handler/src/test/results/positive/accumulo_joins.q.out,4,10,0,0,1,0,0,121.0,121,1,2,884.0,2
accumulo-handler/src/test/results/positive/accumulo_predicate_pushdown.q.out,69,141,0,0,5,0,137.5,107.0,3,5,8,192.42857142857142,8
accumulo-handler/src/test/results/positive/accumulo_queries.q.out,141,117,0,0,11,2,56.0,70.33333333333333,0,6,16,90.46666666666667,10
accumulo-handler/src/test/results/positive/accumulo_single_sourced_multi_insert.q.out,118,79,0,0,8,1,80.0,55.4,2,5,10,150.77777777777777,7
beeline/pom.xml,46,33,0,0,17,5,49.0,29.545454545454547,0,11,39,45.28947368421053,23
beeline/src/java/org/apache/hive/beeline/AbstractCommandHandler.java,1,1,0,0,1,1,0,57.0,57,1,5,443.5,4
beeline/src/java/org/apache/hive/beeline/AbstractOutputFormat.java,1,1,0,0,1,1,0,57.0,57,1,3,887.0,3
beeline/src/java/org/apache/hive/beeline/BeeLine.java,705,481,2,1,38,2,19.72972972972973,18.7,0,20,102,19.019801980198018,43
beeline/src/java/org/apache/hive/beeline/BeeLineCommandCompleter.java,1,1,0,0,1,1,0,57.0,57,1,2,660.0,2
beeline/src/java/org/apache/hive/beeline/BeeLineCompleter.java,1,1,0,0,1,1,0,57.0,57,1,1,0,1
beeline/src/java/org/apache/hive/beeline/BeeLineOpts.java,85,29,0,0,15,3,39.57142857142857,20.818181818181817,0,11,40,45.58974358974359,24
